Original_URL,Match_URL,Confidence
http://www.walmart.com/ip/5750847,,
http://www.walmart.com/ip/20564665,,
http://www.walmart.com/ip/17324906,,
http://www.walmart.com/ip/21944090,,
http://www.walmart.com/ip/10304421,,
http://www.walmart.com/ip/14958183,,
http://www.walmart.com/ip/17056916,,
http://www.walmart.com/ip/14053209,http://www.target.com/p/kellogg-s-special-k-blueberry-fruit-crisps-100-calorie-5-pk/-/A-12994666,56.25
http://www.walmart.com/ip/21610062,,
http://www.walmart.com/ip/15029629,http://www.target.com/p/twilight-blu-ray-widescreen/-/A-11373200,73.36
http://www.walmart.com/ip/16935610,http://www.target.com/p/hershey-s-kisses-with-almonds-chocolate-18-oz/-/A-13347544,75.32
http://www.walmart.com/ip/10453001,,
http://www.walmart.com/ip/24761794,http://www.target.com/p/teenage-mutant-ninja-turtles-donatello-deluxe-mask/-/A-14546760,59.16
http://www.walmart.com/ip/29311958,http://www.target.com/p/2-guns-blu-ray-dvd-only-at-target/-/A-14918804,51.42
http://www.walmart.com/ip/17709294,,
http://www.walmart.com/ip/16419723,http://www.target.com/p/energizer-max-general-purpose-battery-aa-20-count-e91lp-20/-/A-13738742,74.28
http://www.walmart.com/ip/10966031,http://www.target.com/p/kidkraft-avalon-table-and-chair-set-espresso/-/A-13557536,50.07
http://www.walmart.com/ip/13803086,,
http://www.walmart.com/ip/16609504,http://www.target.com/p/learning-resources-alphabet-soup-sorters/-/A-12299403,57.23
http://www.walmart.com/ip/23740906,http://www.target.com/p/red-bull-the-blue-edition-energy-drink-8-4-oz/-/A-14936575,71.59
http://www.walmart.com/ip/27171777,,
http://www.walmart.com/ip/23000385,,
http://www.walmart.com/ip/26845753,http://www.target.com/p/yo-gabba-gabba-hardcover/-/A-13352409,53.58
http://www.walmart.com/ip/25963268,,
http://www.walmart.com/ip/22800182,,
http://www.walmart.com/ip/19207877,,
http://www.walmart.com/ip/11011754,http://www.target.com/p/mission-chair-olive-microfiber/-/A-577581,61.24
http://www.walmart.com/ip/26893665,,
http://www.walmart.com/ip/16536939,,
http://www.walmart.com/ip/15054343,,
http://www.walmart.com/ip/27101340,,
http://www.walmart.com/ip/20557862,http://www.target.com/p/schick-hydro-5-sensitive-razor/-/A-15093205,87.79
http://www.walmart.com/ip/20750534,,
http://www.walmart.com/ip/14304593,http://www.target.com/p/the-vampire-diaries-the-complete-first-season-4-discs-blu-ray-widescreen/-/A-12758817,55.37
http://www.walmart.com/ip/24246663,,
http://www.walmart.com/ip/33356861,,
http://www.walmart.com/ip/33006845,,
http://www.walmart.com/ip/3548650,http://www.target.com/p/the-best-of-the-new-scooby-doo-movies-4-discs-s-hanna-barbera-golden-collection/-/A-11347644,53.80
http://www.walmart.com/ip/24806078,,
